"","brand","location","page","year"
"34","(,,-,,,,,,,,3","66017",1,1990
"65","(,,B,,),,,,,2","67526",2,1990
"279","+,,7,,,,,,,,2","67416",5,1990
"393","+,,L,,M,,,,,3","67871",7,1990
"522","-,,-,,,,,,,,5","67124",10,1990
"556","-,,/,,\,,,,,3","67451",10,1990
"619","-,,7,,/,,,,,2","67070",11,1990
"597","-,,5,,,,,,,,2","67560",11,1990
"683","-,,A,,,,,,,,4","66039",12,1990
"685","-,,A,,,,,,,,6","66418",13,1990
"855","-,,C,,-,,,,55","67701",16,1990
"1018","-,,F,,,,,,,12","67109",18,1990
"1039","-,,G,,,,,,,,1","66533",19,1990
"1116","-,,H,,K,,,,11","67854",20,1990
"1169","-,,I,,,,,,,,2","67352",21,1990
"1224","-,,I,,U,1,,11","66431",22,1990
"1258","-,,J,,B,,,,22","74354",23,1990
"1256","-,,J,,B,,,,,3","67349",23,1990
"1292","-,,J,,L,,,,14","67029",23,1990
"1538","-,,N,,,,,,,,4","67042",28,1990
"1582","-,,O,,,,,,,23","67663",28,1990
"1678","-,,R,,,,,,,,3","67552",30,1990
"1853","-,,T,,-,,,,,1","66401",33,1990
"1930","-,,U,,P,,,,,2","67645",34,1990
"1989","-,,V,5,,,,,15","67661",35,1990
"1945","-,,U,1J,2,,,1","67042",35,1990
"2028","-,,W1,,,,,,,1","67658",36,1990
"2104","-,,[,,C,2,,,2","67481",37,1990
"2061","-,,Y,,,,,,,11","67831",37,1990
"2102","-,,[,,C,,,,,2","67353",37,1990
"2351","/,,J,,M1,/,,6","67870",42,1990
"2556","2,,/,,,,,,,,2","67637",45,1990
"2559","2,,2,,,,,,,,3","67572",45,1990
"2679","3,,+,,,,,,,,2","67672",47,1990
"2848","4,,B,,,,,,,31","67530",50,1990
"2900","4,,H,,-,,,,,1","67114",51,1990
"2921","4,,J,2,,,,,,2","66502",52,1990
"3217","7,,=,,,,,,,,4","67003",57,1990
"3320","7,,E,,MI,,,,2","67736",59,1990
"3454","7,,J,,F,,-,,2","67058",61,1990
"3441","7,,J,,B,,-,12","67510",61,1990
"3472","7,,J,,M,,,,,1","66854",61,1990
"3546","7,,M,,,,,,,,2","67747",63,1990
"3607","7,,R,,,,,,,11","67361",64,1990
"3657","7,,U,,-,,,,13","67057",65,1990
"3683","7,,V,,7,2-,,5","66783",65,1990
"3775","7,27,2L,2,,,3","67880",67,1990
"3861","7,5A,,L,,,,,1","67862",68,1990
"3894","7,5S,5,,,,,,2","66415",69,1990
"3975","9,,BB3,,,,,11","67112",70,1990
"4060","=,,C,,,,,,,,1","66901",72,1990
"4221","A,,2,,,,,,,,1","67436",75,1990
"4287","A,,D,,,,,,,12","67058",76,1990
"4310","A,,F,4,,,,,,1","67637",76,1990
"4333","A,,J,,,,,,,,1","67455",77,1990
"4434","A,,V,,-,,,,,4","67058",78,1990
"4672","A3,B,5,,,,,,2","67839",82,1990
"4726","A3,D,,-,,,,24","67862",83,1990
"4692","A3,BX1,,,,,12","67735",83,1990
"4767","A3,G,,,,,,,11","67831",84,1990
"4782","A3,H,,,,,,,15","66502",84,1990
"4853","A3,J,,M1,J,21","67104",86,1990
"5024","A3,S,5,,,,,,2","67045",89,1990
"5185","A35O,,,,,,,,2","67764",91,1990
"5265","AR,J,8,,,,,,2","67855",93,1990
"5262","AR,J,2,,,,,,2","66436",93,1990
"5289","AR,T,1,,,,,,1","67579",93,1990
"5443","AR7L,5,,,,,,1","67878",96,1990
"5459","AR9L,,,,,,,,2","67110",96,1990
"5695","B,,R,,,,,,,,2","67516",100,1990
"5681","B,,QC,,,,,,,1","67846",100,1990
"5714","B,,T,7,,,,,,1","67047",101,1990
"5772","B,2BB3,,,,,11","66534",102,1990
"5805","B,2J,,,,,,,,2","67735",102,1990
"5885","B,5-,,,,,,,15","67861",104,1990
"5902","B,5B,7,,,,,,2","66510",104,1990
"6023","BB,4,,,,,,,,2","67951",106,1990
"6005","B,7I,,B,7,,,1","67410",106,1990
"6090","BB,J,7,,,,,,2","67521",107,1990
"6111","BB,QC,,,,,,,2","67879",108,1990
"6159","BB1B,,,,,,,,2","67550",109,1990
"6277","BB2B,,,,,,,,2","67483",111,1990
"6285","BB2C,,,,,,,,2","67735",111,1990
"6356","BB3-,,,,,,,,1","67846",112,1990
"6378","BB3B,,,,,,,14","66552",112,1990
"6384","BB3C,,,,,,,,4","66441",113,1990
"6696","BX,,,,,,,,,,3","67155",118,1990
"6854","BX2B,,,,,,,,3","67853",121,1990
"6901","BX2K,,,,,,,,1","66860",122,1990
"6967","C,,*,,,,,,,,2","66749",123,1990
"7031","C,,/,,,,,,,,4","67871",124,1990
"7024","C,,-,,QC,,,,3","67401",124,1990
