"","brand","location","page","year"
"1","#,,,,,,,,,,,1","67563",1,1990
"2","#,,,,,,,,,,11","67835",1,1990
"3","#,,,,,,,,,,12","66092",1,1990
"4","$,,$,,,,,,,,1","03060",1,1990
"5","$,,,,,,,,,,,1","66617",1,1990
"6","$,,,,,,,,,,,2","67576",1,1990
"7","$,,,,,,,,,,,3","67333",1,1990
"8","$,,,,,,,,,,11","67104",1,1990
"9","$,,,,,,,,,,12","67347",1,1990
"10","$,,,,,,,,,,13","66428",1,1990
"11","$,,,,,,,,,,15","67869",1,1990
"12","$,,-,,D,,,,,2","67860",1,1990
"13","$,,I,,C,,I,,1","67665",1,1990
"14","$,,I,,C,,I,,2","67342",1,1990
"15","$,,R,,,,,,,,1","66736",1,1990
"16","%,,,,,,,,,,,2","67529",1,1990
"17","(,,(,,,,,,,,1","66548",1,1990
"18","(,,(,,7,,,,,5","81090",1,1990
"19","(,,(,,QC1,,,2","66507",1,1990
"20","(,,(,,S,5,,,1","67122",1,1990
"21","(,,),,,,,,,,1","67745",1,1990
"22","(,,),,,,,,,,4","67650",1,1990
"23","(,,),,,,,,,,5","67745",1,1990
"24","(,,),,,,,,,11","67070",1,1990
"25","(,,),,,,,,,12","67849",1,1990
"26","(,,),,,,,,,13","67901",1,1990
"27","(,,),,,,,,,15","67871",1,1990
"28","(,,),,,,,,,16","67035",1,1990
"29","(,,),,-,,,,,1","67835",1,1990
"30","(,,),,-,,,,12","67846",1,1990
"31","(,,-,,),,,,,1","80804",1,1990
"32","(,,-,,),,,,11","67356",1,1990
"33","(,,-,,,,,,,,2","66423",1,1990
"34","(,,-,,,,,,,,3","66017",1,1990
"35","(,,-,,,,,,,,4","66041",1,1990
"36","(,,-,,AR7,,,2","69043",1,1990
"37","(,,-,,D,,,,,1","67124",1,1990
"38","(,,-,,D,,,,,2","67124",1,1990
"39","(,,-,,D,,,,,3","67124",1,1990
"40","(,,-,,D,,,,,4","67124",1,1990
"41","(,,-,,D,,,,,5","67124",1,1990
"42","(,,-,,D,,,,,6","67124",1,1990
"43","(,,-,,G,,-,,2","67418",1,1990
"44","(,,-,,I,,,,,5","67672",1,1990
"45","(,,-,,J,,,,,1","67457",1,1990
"46","(,,-,,L,,,,,1","67762",1,1990
"47","(,,-,,P,,,,,2","66780",1,1990
"48","(,,-,,U,1,,,2","67560",1,1990
"49","(,,-3,,,,,,,1","66955",1,1990
"50","(,,6,,,,,,,,6","67880",1,1990
"51","(,,7,2R,,,,,2","67550",1,1990
"52","(,,7,5,,,,,,1","67028",1,1990
"53","(,,7,5,,,,,,3","67844",1,1990
"54","(,,A,,),,,,,2","67425",1,1990
"55","(,,A,5,,,,,,1","67837",1,1990
"56","(,,A2,),,,,,1","67432",1,1990
"57","(,,A3,,,,,,,1","68361",1,1990
"58","(,,A3,,,,,,,2","66838",2,1990
"59","(,,A3,,,,,,,5","67839",2,1990
"60","(,,A35,,,,,,1","67879",2,1990
"61","(,,A35,,,,,,2","67753",2,1990
"62","(,,A35,,,,,,3","67550",2,1990
"63","(,,A35,,,,,,5","67879",2,1990
"64","(,,B,,),,,,,1","67801",2,1990
"65","(,,B,,),,,,,2","67526",2,1990
"66","(,,B,7,,,,,,1","67021",2,1990
"67","(,,BB4),,,,,1","67735",2,1990
"68","(,,BB4,,,,,,1","67637",2,1990
"69","(,,BB5,,,,,,2","66404",2,1990
"70","(,,BB5M,,-,,1","66079",2,1990
"71","(,,C,,,,,,,,5","67861",2,1990
"72","(,,C,,,,,,,,6","67861",2,1990
"73","(,,D,,,,,,,,1","66523",2,1990
"74","(,,D,,,,,,,,3","66868",2,1990
"75","(,,D,5,,,,,,2","67801",2,1990
"76","(,,D,5J,5,,,1","67346",2,1990
"77","(,,D,7,,,,,,2","67556",2,1990
"78","(,,DI,,,,,,,1","67108",2,1990
"79","(,,E,,,,,,,,1","67420",2,1990
"80","(,,F,3,,,,,,1","67637",2,1990
"81","(,,F,3,,,,,,2","67672",2,1990
"82","(,,F,7,,,,,,1","67834",2,1990
"83","(,,H,,),,,,,1","67152",2,1990
"84","(,,H,,,,,,,,1","66940",2,1990
"85","(,,H,,,,,,,,2","67547",2,1990
"86","(,,H,5,,,,,,5","67901",2,1990
"87","(,,H,5,,,,,11","67954",2,1990
"88","(,,I,,),,,,,1","67647",2,1990
"89","(,,J,,,,,,,,1","67156",2,1990
"90","(,,J,,,,,,,,2","67420",2,1990
"91","(,,J,5,,,,,,1","67122",2,1990
"92","(,,J,6,,,,,,1","67749",2,1990
"93","(,,J,7,,,,,,2","67483",2,1990
"94","(,,K,,),,,,,1","67730",2,1990
"95","(,,K,,,,,,,,1","67543",2,1990
"96","(,,K,,,,,,,,2","67352",2,1990
"97","(,,K,,,,,,,,5","66427",2,1990
"98","(,,K,2,,,,,,2","67639",2,1990
"99","(,,K,5),,,,,2","67410",2,1990
"100","(,,L,,,,,,,,1","67448",2,1990
"101","(,,L,,J,,,,,5","67879",2,1990
"102","(,,L,2,,,,,,2","66523",2,1990
"103","(,,L,5),,,,,2","67550",2,1990
"104","(,,L,5,,,,,,2","66549",2,1990
"105","(,,M,,,,,,,,2","67748",2,1990
"106","(,,M,5,,,,,,5","66539",2,1990
"107","(,,M15,,,,,,2","67657",2,1990
"108","(,,O,,),,,,,1","67732",2,1990
"109","(,,O,,,,,,,,6","67654",2,1990
"110","(,,O,,QC,),,1","69032",2,1990
"111","(,,O,,QC,),,3","69032",2,1990
"112","(,,O,,QC,),,5","69032",2,1990
"113","(,,O1,,,,,,,5","67801",2,1990
"114","(,,QC,,,,,,,1","67031",2,1990
"115","(,,QC,,,,,,,2","66431",3,1990
"116","(,,QC,,,,,,,3","67954",3,1990
"117","(,,QC,,,,,,11","67127",3,1990
"118","(,,QC1,,,,,,1","67834",3,1990
"119","(,,QC1,,,,,22","67584",3,1990
"120","(,,QC1,,,,,23","67104",3,1990
"121","(,,QC1,,,,,25","67871",3,1990
"122","(,,R,,,,,,,,1","67762",3,1990
"123","(,,R,2,,,,,,2","66547",3,1990
"124","(,,R,5,,,,,,1","66939",3,1990
"125","(,,S,,),,,,,1","67842",3,1990
"126","(,,S,,),,,,,2","66073",3,1990
"127","(,,S,,),,,,,3","67023",3,1990
"128","(,,S,,,,,,,,1","66767",3,1990
"129","(,,S,,,,,,,,2","67023",3,1990
"130","(,,S,,,,,,,,3","67023",3,1990
"131","(,,S,2,,,,,,1","67661",3,1990
"132","(,,S,2,,,,,,5","67661",3,1990
"133","(,,S,5,,,,,,1","66857",3,1990
"134","(,,S,5,,,,,,2","67659",3,1990
"135","(,,S,5,,,,,,3","67748",3,1990
"136","(,,T,,),,,,,2","67059",3,1990
"137","(,,T,L,,,,,,2","67752",3,1990
"138","(,,T,7,,,,,,6","67035",3,1990
"139","(,,TA,,,,,,,1","67418",3,1990
"140","(,,V,,),,,,,2","67744",3,1990
"141","(,,V,,F,,,,,2","67756",3,1990
"142","(,,V,5,,,,,,2","67701",3,1990
"143","(,,W,,,,,,,,2","66871",3,1990
"144","(,,W,5,,,,,,1","67701",3,1990
"145","(,,X,,,,,,,,1","67451",3,1990
"146","(,,X,,F,7,,,2","67878",3,1990
"147","(,,\,,),,,,,1","67207",3,1990
"148","),,(,,,,,,,,2","67663",3,1990
"149","),,(,,,,,,,,5","66850",3,1990
"150","),,(,,-,,,,,1","67860",3,1990
"151","),,(,,-,,,,12","67738",3,1990
"152","),,(,,QC,,,,1","67749",3,1990
"153","),,(,,QC1,,,2","67124",3,1990
"154","),,(,,QC1,,,4","67066",3,1990
"155","),,),,),,,,,1","67870",3,1990
"156","),,),,),,,,,2","67870",3,1990
"157","),,),,),,,,,3","67870",3,1990
"158","),,),,),,,,,4","67870",3,1990
"159","),,),,),,,,,5","67870",3,1990
"160","),,),,),,,,,6","67870",3,1990
"161","),,),,,,,,,,1","67432",3,1990
"162","),,),,,,,,,,2","67432",3,1990
"163","),,),,,,,,,,3","85740",3,1990
"164","),,-,,(,,,,,1","67071",3,1990
"165","),,-,,(,,,,,2","67127",3,1990
"166","),,-,,(,,-,,1","67584",3,1990
"167","),,-,,(,,-,11","67460",3,1990
"168","),,-,,(,,QC11","67578",3,1990
"169","),,-,,,,,,,,1","66854",3,1990
"170","),,-,,,,,,,,2","67009",3,1990
"171","),,-,,,,,,,12","66507",3,1990
"172","),,-,,,,,,,21","67855",4,1990
"173","),,-,,2,,,,,3","67764",4,1990
"174","),,-,,G,,,,,1","67578",4,1990
"175","),,-,,G,,QC15","66040",4,1990
"176","),,-,,S,,,,,1","67901",4,1990
"177","),,-,,S,,,,11","67410",4,1990
"178","),,/,,,,,,,,2","67801",4,1990
"179","),,7,,,,,,,,1","66041",4,1990
"180","),,7,,,,,,,,6","66002",4,1990
"181","),,7,6,,,,,,1","67629",4,1990
"182","),,7,6,,,,,,5","67878",4,1990
"183","),,A1,D,,QC,6","67423",4,1990
"184","),,A35-,,,,,5","67951",4,1990
"185","),,AR7,,,,,,2","66054",4,1990
"186","),,B,5,,,,,,3","67058",4,1990
"187","),,BX1,,,,,,1","67951",4,1990
"188","),,C,,QC,,,,4","67839",4,1990
"189","),,D,,),,,,,1","80836",4,1990
"190","),,E,5,,,,,,2","67757",4,1990
"191","),,F,,,,,,,,1","67227",4,1990
"192","),,F,7,,,,,,1","67650",4,1990
"193","),,H,,(,,,,,5","67756",4,1990
"194","),,H,,,,,,,,1","67131",4,1990
"195","),,J,2,,,,,,2","67801",4,1990
"196","),,K,,,,,,,,3","67865",4,1990
"197","),,K,,,,,,,,5","67865",4,1990
"198","),,L,,,,,,,,4","67863",4,1990
"199","),,M1,,,,,,,2","67735",4,1990
"200","),,N,,,,,,,,2","66083",4,1990
"201","),,N,,,,,,,,5","67855",4,1990
"202","),,O,,(,,,,,1","67764",4,1990
"203","),,O,,(,,,,,2","67764",4,1990
"204","),,O,,,,,,,,1","67851",4,1990
"205","),,P,,(,,,,,2","67045",4,1990
"206","),,P,,,,,,,,1","66756",4,1990
"207","),,QC,,,,,,,3","67410",4,1990
"208","),,QC,=,,,,,1","67735",4,1990
"209","),,QC1I,,QC,1","67844",4,1990
"210","),,S,,,,,,,,1","67073",4,1990
"211","),,S,5,,,,,,1","66834",4,1990
"212","),,T,5,,,,,,1","67059",4,1990
"213","),,T,5,,,,,,2","67059",4,1990
"214","),,T,7,,,,,,1","67756",4,1990
"215","),,T,7QC1QC,1","67071",4,1990
"216","),,TA,Z,,,,,1","81090",4,1990
"217","),,U,1,,,,,,1","66015",4,1990
"218","),,U,1,,,,,,3","66015",4,1990
"219","),,V,,,,,,,,2","66943",4,1990
"220","),,V,5,,,,,,1","80206",4,1990
"221","),,V,5,,,,,,5","80206",4,1990
"222","),,W,,,,,,,,1","67556",4,1990
"223","),,Y,5,,,,,,1","80206",4,1990
"224","),,Z,,,,,,,,1","66436",4,1990
"225","*,,,,,,,,,,,1","67831",4,1990
"226","*,,,,,,,,,,11","67736",4,1990
"227","*,,,,,,,,,,12","67736",4,1990
"228","*,,,,,,,,,,13","67736",4,1990
"229","*,,,,,,,,,,14","67748",5,1990
"230","*,,,,,,,,,,15","67855",5,1990
"231","*,,,,,,,,,,21","67661",5,1990
"232","*,,,,,,,,,,34","67650",5,1990
"233","*,,,,,,,,,,41","67576",5,1990
"234","*,,,,,,,,,,51","67455",5,1990
"235","*,,,,,,,,,,52","67455",5,1990
"236","*,,,,,,,,,,53","67455",5,1990
"237","*,,,,,,,,,,54","67455",5,1990
"238","*,,,,,,,,,,62","67732",5,1990
"239","*,,-,,,,,,,,1","67736",5,1990
"240","*,,-,,,,,,,11","67758",5,1990
"241","*,,-,,,,,,,22","67005",5,1990
"242","*,,-,,C,,,,,2","67834",5,1990
"243","*,,-,,C,,,,,4","67579",5,1990
"244","*,,J,,,,,,,,1","67846",5,1990
"245","*,,O1,,,,,,,2","67481",5,1990
"246","*,,QC,,,,,,,1","67455",5,1990
"247","*,,S,,,,,,,,1","67122",5,1990
"248","*,,T,,,,,,,,2","66845",5,1990
"249","*,,U,,,,,,,,1","66846",5,1990
"250","+,,),,,,,,,,1","67155",5,1990
"251","+,,),,,,,,,,2","67738",5,1990
"252","+,,),,,,,,,,6","67632",5,1990
"253","+,,),,,,,,,11","67572",5,1990
"254","+,,+,,,,,,,,2","67761",5,1990
"255","+,,+,,,,,,,,5","66002",5,1990
"256","+,,+,,,,,,,32","66968",5,1990
"257","+,,+,,-,,,,,2","67762",5,1990
"258","+,,+,,L,,,,,1","69041",5,1990
"259","+,,+,,S,2,,,1","69030",5,1990
"260","+,,+,,S,2,,,2","69030",5,1990
"261","+,,,,,,,,,,,1","66526",5,1990
"262","+,,-,,,,,,,,2","67871",5,1990
"263","+,,-,,,,,,,11","67109",5,1990
"264","+,,-,,,,,,,12","66868",5,1990
"265","+,,-,,,,,,,14","67552",5,1990
