"","brand","location","page","year"
"266","+,,-,,,,,,,15","67109",5,1990
"267","+,,/,,,,,,,,1","74003",5,1990
"268","+,,/,,,,,,,11","66404",5,1990
"269","+,,2,,,,,,,,1","67801",5,1990
"270","+,,2,,,,,,,12","67752",5,1990
"271","+,,3,,,,,,,,1","67127",5,1990
"272","+,,3,,,,,,,,2","67026",5,1990
"273","+,,3,,,,,,,11","67155",5,1990
"274","+,,6,,,,,,,,1","67137",5,1990
"275","+,,6,,,,,,,,2","67901",5,1990
"276","+,,6,,,,,,,,4","67901",5,1990
"277","+,,6,,,,,,,,6","67901",5,1990
"278","+,,7,,,,,,,,1","67860",5,1990
"279","+,,7,,,,,,,,2","67416",5,1990
"280","+,,7,,,,,,,,5","67422",5,1990
"281","+,,7,,,,,,,,6","66783",5,1990
"282","+,,7,,,,,,,15","67072",5,1990
"283","+,,7,5,,,,,,2","67572",5,1990
"284","+,,=,,,,,,,12","67756",5,1990
"285","+,,=,,,,,,,13","67029",5,1990
"286","+,,A3,,,,,,,1","67871",6,1990
"287","+,,A3,,,,,,11","67842",6,1990
"288","+,,A3,,,,,,21","67844",6,1990
"289","+,,A3,,,,,,22","67868",6,1990
"290","+,,A3,K,,,,,6","67058",6,1990
"291","+,,AR1,,,,,,1","67047",6,1990
"292","+,,AR5,,,,,11","66850",6,1990
"293","+,,AR7,,,,,12","67581",6,1990
"294","+,,AR7J,,,,,5","67353",6,1990
"295","+,,B,,,,,,,,1","66509",6,1990
"296","+,,B,,,,,,,,2","67156",6,1990
"297","+,,B,,,,,,,,3","66862",6,1990
"298","+,,B,,,,,,,,6","67156",6,1990
"299","+,,B,,,,,,,15","67052",6,1990
"300","+,,B,7,,,,,,1","66509",6,1990
"301","+,,BB2,,,,,,2","67473",6,1990
"302","+,,BB3,,,,,,1","67844",6,1990
"303","+,,BB3,,,,,,2","67745",6,1990
"304","+,,BB3,,,,,,5","67731",6,1990
"305","+,,BB3,,,,,,6","67745",6,1990
"306","+,,BB7,,,,,,1","67831",6,1990
"307","+,,C,,,,,,,,1","67840",6,1990
"308","+,,C,,,,,,,,2","67544",6,1990
"309","+,,C,,,,,,,11","67839",6,1990
"310","+,,C,,,,,,,12","67835",6,1990
"311","+,,C,,,,,,,15","67835",6,1990
"312","+,,C,,,,,,,16","67104",6,1990
"313","+,,C,,,,,,,21","67012",6,1990
"314","+,,C,,,,,,,25","66075",6,1990
"315","+,,C,2,,,,,11","67735",6,1990
"316","+,,CP1,,,,,,2","67523",6,1990
"317","+,,CR,,,,,,12","66021",6,1990
"318","+,,CR,,,,,,13","66021",6,1990
"319","+,,CR,,,,,,14","66021",6,1990
"320","+,,D,5,,,,,,1","67672",6,1990
"321","+,,DI,,,,,,,1","66967",6,1990
"322","+,,E,,,,,,,,1","66535",6,1990
"323","+,,E,5,,,,,,1","67131",6,1990
"324","+,,E,5,,,,,,2","67031",6,1990
"325","+,,F,,,,,,,,1","67356",6,1990
"326","+,,F,,,,,,,12","67640",6,1990
"327","+,,F,2R,,,,,4","67835",6,1990
"328","+,,F,7,,,,,,1","67735",6,1990
"329","+,,G,,,,,,,,1","66402",6,1990
"330","+,,G,,,,,,,,2","66402",6,1990
"331","+,,G,5,,,,,,2","67114",6,1990
"332","+,,H,,,,,,,,1","67579",6,1990
"333","+,,H,,,,,,,,2","67444",6,1990
"334","+,,H,,,,,,,11","93550",6,1990
"335","+,,H,,,,,,,12","67047",6,1990
"336","+,,H,,,,,,,21","66608",6,1990
"337","+,,H,,-,,,,,3","67352",6,1990
"338","+,,H,5,,,,,,2","67701",6,1990
"339","+,,H,5,,,,,11","67134",6,1990
"340","+,,H,5,,,,,12","67739",6,1990
"341","+,,H1,,,,,,,2","67071",6,1990
"342","+,,I,,,,,,,,1","67070",6,1990
"343","+,,I,,,,,,,,2","66955",7,1990
"344","+,,I,,,,,,,,3","67420",7,1990
"345","+,,I,,,,,,,,5","67801",7,1990
"346","+,,I,,,,,,,12","66411",7,1990
"347","+,,I,,I,,,,,1","67449",7,1990
"348","+,,I,,I,,,,,2","67756",7,1990
"349","+,,J,,),,,,,1","66502",7,1990
"350","+,,J,,,,,,,,1","66940",7,1990
"351","+,,J,,,,,,,,2","67665",7,1990
"352","+,,J,,,,,,,,5","67072",7,1990
"353","+,,J,,,,,,,11","67867",7,1990
"354","+,,J,,,,,,,12","67029",7,1990
"355","+,,J,,,,,,,14","67029",7,1990
"356","+,,J,,,,,,,15","67110",7,1990
"357","+,,J,,,,,,,16","67870",7,1990
"358","+,,J,,-,,,,,1","67349",7,1990
"359","+,,J,,/,,,,,1","73942",7,1990
"360","+,,J,,/,,,,,2","73942",7,1990
"361","+,,J,P,,,,,,2","67003",7,1990
"362","+,,J,2,,,,,,1","67748",7,1990
"363","+,,J,2,,,,,12","67632",7,1990
"364","+,,J,2,,,,,14","67657",7,1990
"365","+,,J,4,,,,,,1","67661",7,1990
"366","+,,J,5,,,,,,1","66434",7,1990
"367","+,,J,5,,,,,,2","67059",7,1990
"368","+,,J,5,,,,,,6","67029",7,1990
"369","+,,J,5,,,,,11","68971",7,1990
"370","+,,JU,,,,,,,1","67838",7,1990
"371","+,,JU,,,,,,,2","67838",7,1990
"372","+,,JU,,,,,,,3","67152",7,1990
"373","+,,JU,,,,,,,4","74103",7,1990
"374","+,,JU,,,,,,,5","67838",7,1990
"375","+,,JU,,,,,,,6","67838",7,1990
"376","+,,K,,,,,,,,1","67871",7,1990
"377","+,,K,,,,,,,,2","67663",7,1990
"378","+,,K,,,,,,,21","67665",7,1990
"379","+,,K,5,,,,,,1","67349",7,1990
"380","+,,K,7,,,,,,2","67663",7,1990
"381","+,,L,,,,,,,,1","67864",7,1990
"382","+,,L,,,,,,,,2","66408",7,1990
"383","+,,L,,,,,,,,3","67846",7,1990
"384","+,,L,,,,,,,11","67631",7,1990
"385","+,,L,,,,,,,13","67104",7,1990
"386","+,,L,,,,,,,15","67831",7,1990
"387","+,,L,,,,,,,16","67871",7,1990
"388","+,,L,,,,,,,21","66415",7,1990
"389","+,,L,,,,,,,22","66967",7,1990
"390","+,,L,,-,,,,,3","67127",7,1990
"391","+,,L,,-,,,,,5","67860",7,1990
"392","+,,L,,M,,,,,1","67871",7,1990
"393","+,,L,,M,,,,,3","67871",7,1990
"394","+,,L,2,,,,,,1","66732",7,1990
"395","+,,L,2,,,,,,5","67764",7,1990
"396","+,,L,2-,,,,,1","67068",7,1990
"397","+,,L,2M,,L,,3","67349",7,1990
"398","+,,L,5,,,,,,1","67356",7,1990
"399","+,,L,5,,,,,,2","67880",7,1990
"400","+,,L,5M,5,,,1","67109",8,1990
"401","+,,L,6,,,,,,1","67061",8,1990
"402","+,,M,,,,,,,,1","67530",8,1990
"403","+,,M,,,,,,,,2","67954",8,1990
"404","+,,M,,,,,,,,3","67530",8,1990
"405","+,,M,,,,,,,12","67837",8,1990
"406","+,,M,,,,,,,14","67525",8,1990
"407","+,,M,5,,,,,,2","67576",8,1990
"408","+,,MI,,,,,,,1","67022",8,1990
"409","+,,MI,,,,,,,2","67634",8,1990
"410","+,,MI2,,,,,,1","67878",8,1990
"411","+,,MO,,,,,,,1","67876",8,1990
"412","+,,MO,,,,,,,2","67876",8,1990
"413","+,,N,,,,,,,,1","67672",8,1990
"414","+,,N,,,,,,,,2","80033",8,1990
"415","+,,N,,,,,,,11","67021",8,1990
"416","+,,N,,,,,,,26","67748",8,1990
"417","+,,O,,,,,,,,1","67070",8,1990
"418","+,,O,,,,,,,,2","69030",8,1990
"419","+,,O,,,,,,,11","66502",8,1990
"420","+,,O,,,,,,,12","67801",8,1990
"421","+,,O,,,,,,,15","66862",8,1990
"422","+,,O,,,,,,,21","67839",8,1990
"423","+,,P,,,,,,,,2","67855",8,1990
"424","+,,QC,,,,,,,1","67059",8,1990
"425","+,,QC,,,,,,,2","67632",8,1990
"426","+,,QC,,,,,,,6","66216",8,1990
"427","+,,QC,,,,,,11","67901",8,1990
"428","+,,QC,,,,,,12","67901",8,1990
"429","+,,QC,,,,,,13","67901",8,1990
"430","+,,QC,,,,,,14","67901",8,1990
"431","+,,QC,,,,,,15","67901",8,1990
"432","+,,QC,,,,,,16","67901",8,1990
"433","+,,QC,-,,,,,1","67950",8,1990
"434","+,,QC,B,,,,,1","67953",8,1990
"435","+,,QC,,,,,,,1","67843",8,1990
"436","+,,QC,,,,,,,2","75455",8,1990
"437","+,,QC,,,,,,11","67484",8,1990
"438","+,,QC,,,,,,12","67026",8,1990
"439","+,,QC1,,,,,13","67026",8,1990
"440","+,,QC1,,,,,14","67026",8,1990
"441","+,,QC1,,,,,15","67026",8,1990
"442","+,,QC1,,,,,16","67026",8,1990
"443","+,,R,,,,,,,,2","67621",8,1990
"444","+,,R,,,,,,,12","67740",8,1990
"445","+,,S,,,,,,,,1","67834",8,1990
"446","+,,S,,,,,,,,2","66830",8,1990
"447","+,,S,,,,,,,11","66846",8,1990
"448","+,,S,,,,,,,13","67739",8,1990
"449","+,,S,,,,,,,21","67642",8,1990
"450","+,,S,5,,,,,,1","67525",8,1990
"451","+,,S,5,,,,,,5","67880",8,1990
"452","+,,S,5,,,,,11","66846",8,1990
"453","+,,T,,,,,,,,1","67901",8,1990
"454","+,,T,,,,,,,,2","67950",8,1990
"455","+,,T,,,,,,,12","67876",8,1990
"456","+,,T,,,,,,,16","67428",8,1990
"457","+,,T,1,,,,,,1","67871",9,1990
"458","+,,T,1,,,,,,2","67871",9,1990
"459","+,,T,1,,,,,11","66777",9,1990
"460","+,,T,1,,,,,12","66717",9,1990
"461","+,,T,1,,,,,15","66777",9,1990
"462","+,,T,5,,,,,,1","66872",9,1990
"463","+,,T,9,,,,,,2","67844",9,1990
"464","+,,TA,,,,,,,3","67552",9,1990
"465","+,,TA,,,,,,16","58502",9,1990
"466","+,,TA1,,,,,,1","67480",9,1990
"467","+,,TA1,,,,,,2","67028",9,1990
"468","+,,TA1,,,,,,4","67104",9,1990
"469","+,,U,,,,,,,,1","67749",9,1990
"470","+,,U,,,,,,,,3","67701",9,1990
"471","+,,U,5,,,,,11","66076",9,1990
"472","+,,V,,,,,,,,1","67118",9,1990
"473","+,,V,,,,,,,11","67864",9,1990
"474","+,,V,,,,,,,15","88426",9,1990
"475","+,,V,5,,,,,,2","67550",9,1990
"476","+,,W,,,,,,,,1","79102",9,1990
"477","+,,W,,,,,,,,2","67954",9,1990
"478","+,,W,,,,,,,11","67146",9,1990
"479","+,,W,,,,,,,25","67878",9,1990
"480","+,,W1,,,,,,,2","67601",9,1990
"481","+,,W1,,,,,,11","66451",9,1990
"482","+,,X,,,,,,,,2","67072",9,1990
"483","+,,X,,,,,,,11","67831",9,1990
"484","+,,X,,X,,,,,2","67005",9,1990
"485","+,,Z,,,,,,,,1","66502",9,1990
"486","+,,Z,,,,,,,11","67672",9,1990
"487","+,,\,,,,,,,,2","67447",9,1990
"488","+,,\,,,,,,,,5","67880",9,1990
"489","+,,\,,,,,,,,6","67880",9,1990
"490","+,,\,,,,,,,,7","67835",9,1990
"491","+,,\,,-,,,,,1","67663",9,1990
"492","+,,],,D,,,,,1","67876",9,1990
"493","+,,],,D,,-,,1","67876",9,1990
"494","-,,$,,,,,,,,2","67879",9,1990
"495","-,,(,,,,,,,,2","67138",9,1990
"496","-,,(,,,,,,,12","67017",9,1990
"497","-,,(,,,,,,,15","67154",9,1990
"498","-,,(,,-,,,,,1","67124",9,1990
"499","-,,),,),,,,,2","81047",9,1990
"500","-,,),,,,,,,,1","67511",9,1990
"501","-,,),,,,,,,,2","67127",9,1990
"502","-,,),,,,,,,,4","66017",9,1990
"503","-,,),,,,,,,,5","67127",9,1990
"504","-,,),,-,,(,,1","66402",9,1990
"505","-,,),,-,,(,,2","67059",9,1990
"506","-,,),,-,,,,,1","67022",9,1990
"507","-,,),,-,,,,,2","67045",9,1990
"508","-,,),,-,,,,,4","67045",9,1990
"509","-,,),,-,,,,,6","67045",9,1990
"510","-,,),,B,,,,,1","67042",9,1990
"511","-,,+,,,,,,,,1","67073",9,1990
"512","-,,+,,,,,,,,2","67455",9,1990
"513","-,,+,,,,,,,,4","67455",9,1990
"514","-,,+,,,,,,,,6","67455",10,1990
"515","-,,+,,,,,,,11","67831",10,1990
"516","-,,+,,,,,,,12","66843",10,1990
"517","-,,+,,,,,,,13","67518",10,1990
"518","-,,+,,-,,,,,2","67731",10,1990
"519","-,,+,,J,,J,24","67640",10,1990
"520","-,,+,,L,,,,,2","67801",10,1990
"521","-,,-,,,,,,,,1","67124",10,1990
"522","-,,-,,,,,,,,5","67124",10,1990
"523","-,,-,,,,,,,,7","66605",10,1990
"524","-,,-,,,,,,,17","67473",10,1990
"525","-,,-,,-,,,,,4","67156",10,1990
"526","-,,-,,C,,,,,2","67203",10,1990
"527","-,,-,,C,,,,,3","80810",10,1990
"528","-,,-,,D,,,,,1","67106",10,1990
"529","-,,-,,H,,,,,1","67473",10,1990
"530","-,,-,,H,,,,12","66777",10,1990
"531","-,,-,,H,,-,,1","67124",10,1990
"532","-,,-,,I,,,,,1","67054",10,1990
"533","-,,-,,I,,,,,2","67740",10,1990
"534","-,,-,,R,,-,,1","66779",10,1990
"535","-,,-,,T,,,,,1","67846",10,1990
"536","-,,-,,U,,,,12","66547",10,1990
"537","-,,-,,U,1,,,1","67740",10,1990
"538","-,,-,,U,1,,,5","67642",10,1990
"539","-,,-,,V,,,,,2","67876",10,1990
"540","-,,-,,W,,,,,2","67831",10,1990
"541","-,,/,,,,,,,,1","67758",10,1990
"542","-,,/,,,,,,,,2","67645",10,1990
"543","-,,/,,,,,,,,4","67831",10,1990
"544","-,,/,,,,,,,11","67756",10,1990
"545","-,,/,,,,,,,13","67518",10,1990
"546","-,,/,,-,,,,,1","67159",10,1990
"547","-,,/,,/,,,,,1","67747",10,1990
"548","-,,/,,/,,,,,2","67410",10,1990
"549","-,,/,,/,,-,,5","67159",10,1990
"550","-,,/,,/,,-,11","66944",10,1990
"551","-,,/,,/,,-,12","66944",10,1990
"552","-,,/,,O1,,,,1","67846",10,1990
"553","-,,/,,V,,-,,1","67063",10,1990
"554","-,,/,,\,,,,,1","67867",10,1990
"555","-,,/,,\,,,,,2","67637",10,1990
"556","-,,/,,\,,,,,3","67451",10,1990
"557","-,,2,,,,,,,,1","67061",10,1990
"558","-,,2,,,,,,,11","67071",10,1990
"559","-,,2,,,,,,,12","67138",10,1990
"560","-,,2,,,,,,,13","67071",10,1990
"561","-,,2,,-,,,,,1","66536",10,1990
"562","-,,2,,I,,,,,1","67661",10,1990
"563","-,,2,,I,,,,,2","67661",10,1990
"564","-,,2,,I,,,,,3","67579",10,1990
"565","-,,2,,O,,,,,2","67701",10,1990
"566","-,,2,5,,,,,,1","67601",10,1990
"567","-,,2,5,,,,,,4","67138",10,1990
"568","-,,3,,,,,,,,1","73717",10,1990
"569","-,,3,,,,,,,,2","67831",10,1990
"570","-,,3,,,,,,,,3","67155",10,1990
